Date,Close
2023-11-21,3342.84
2023-11-22,3351.5596
2023-11-23,3356.8704
2023-11-24,3361.9268
2023-11-25,3366.5981
2023-11-26,3372.6667
2023-11-27,3378.5535
2023-11-28,3384.5388
2023-11-29,3390.753
2023-11-30,3397.3398
2023-12-01,3404.1382
2023-12-02,3411.1904
2023-12-03,3418.538
2023-12-04,3426.2056
2023-12-05,3434.1904
2023-12-06,3442.517
2023-12-07,3451.208
2023-12-08,3460.2876
2023-12-09,3469.7778
2023-12-10,3479.7056
2023-12-11,3490.0994
2023-12-12,3500.9924
2023-12-13,3512.4172
2023-12-14,3524.4111
2023-12-15,3537.0164
2023-12-16,3550.2776
2023-12-17,3564.194
2023-12-18,3578.8162
2023-12-19,3594.2185
2023-12-20,3610.4597
2023-12-21,3627.6035
2023-12-22,3645.7253
2023-12-23,3664.912
2023-12-24,3685.2583
2023-12-25,3706.869
2023-12-26,3729.863
2023-12-27,3754.3757
2023-12-28,3780.5586
2023-12-29,3808.5852
2023-12-30,3838.2734
2023-12-31,3869.842
2024-01-01,3903.6323
2024-01-02,3939.868
2024-01-03,3978.7805
2024-01-04,4020.713
2024-01-05,4066.0662
2024-01-06,4115.2812
2024-01-07,4168.84
2024-01-08,4227.359
2024-01-09,4291.6123
